miRNA	log2(exp)>=0	log2(exp)>=1	log2(exp)>=2	log2(exp)>=3	log2(exp)>=4	log2(exp)>=5	log2(exp)>=6	log2(exp)>=7	log2(exp)>=8	log2(exp)>=9	mean expression level
hsa-miR-1913	954	953	951	937	727	120	2	0	0	0	4.36304946222401
hsa-miR-1914	954	953	946	896	653	137	3	0	0	0	4.26610837984438
hsa-miR-1915	954	954	951	921	623	124	15	1	0	0	4.27170352795335
hsa-miR-192	801	715	706	698	678	641	568	422	254	109	5.55784754779742
hsa-miR-193a-3p	526	49	6	6	4	3	2	1	0	0	0.142429403928935
hsa-miR-193a-5p	953	950	938	888	710	508	320	144	30	6	5.20136182755401
hsa-miR-193b	954	954	954	954	954	951	941	912	880	783	10.1493402658667
hsa-miR-194	954	954	954	951	921	733	471	254	160	122	6.58726922450114
hsa-miR-195	954	954	954	950	929	668	231	75	28	11	5.54791373792385
hsa-miR-196a	953	949	949	948	947	945	938	911	829	624	9.30851058462665
hsa-miR-196b	954	954	951	912	722	579	454	319	181	99	5.960474964036
hsa-miR-197	954	954	954	954	954	940	877	731	374	125	7.69940671754528
hsa-miR-1973	954	954	954	952	918	671	244	66	18	6	5.50149832559081
hsa-miR-1976	953	927	805	466	106	19	2	1	0	0	2.93238304418496
hsa-miR-198	952	930	862	557	70	0	0	0	0	0	3.02924623382679
hsa-miR-199a-3p+hsa-miR-199b-3p	954	954	953	943	745	312	211	176	147	122	5.55366428961216
hsa-miR-199a-5p	954	954	944	888	509	174	143	129	116	105	4.83517209831539
hsa-miR-199b-5p	954	954	953	938	743	305	182	134	94	52	5.09263622917922
hsa-miR-19a	954	954	954	954	952	947	933	909	828	648	9.59812441466356
hsa-miR-19b	954	954	954	954	954	954	954	952	948	933	12.2734876278295
hsa-miR-200a	954	954	954	954	954	939	830	596	410	274	7.97321698087972
hsa-miR-200b	954	954	954	951	879	589	475	448	418	389	7.62882851121773
hsa-miR-200c	953	951	948	939	883	622	452	410	396	388	7.9107848820776
hsa-miR-202	954	953	947	898	505	61	2	0	0	0	4.03292697130556
hsa-miR-203	954	954	954	952	896	620	401	318	251	189	6.58718780497762
hsa-miR-204	953	948	935	840	502	179	98	62	38	18	4.29635047434745
hsa-miR-205	954	954	953	944	785	378	280	251	224	210	6.6167548207025
hsa-miR-2052	951	936	882	585	87	1	0	0	0	0	3.09408640926196
hsa-miR-2053	953	941	916	749	268	36	0	0	0	0	3.54299156442703
hsa-miR-2054	954	954	952	931	689	130	6	0	0	0	4.33479377635102
hsa-miR-206	848	680	642	607	514	358	149	16	7	5	3.5309237931389
hsa-miR-208a	954	954	954	954	947	841	320	48	3	1	5.76806290602014
hsa-miR-208b	954	954	954	937	736	213	15	1	1	0	4.49502899678221
hsa-miR-20a+hsa-miR-20b	951	948	948	948	948	948	948	947	939	935	13.1454055031876
hsa-miR-21	954	954	954	954	953	953	953	934	901	841	11.5186553999174
hsa-miR-210	954	954	954	954	945	905	788	579	363	159	7.47309115190355
hsa-miR-211	954	944	898	682	214	45	22	17	14	8	3.47784035106229
hsa-miR-2110	952	947	916	675	116	2	0	0	0	0	3.28664743136862
hsa-miR-2113	954	954	954	901	421	31	7	2	1	1	3.91960448552097
hsa-miR-2114	954	954	953	943	720	94	1	0	0	0	4.33498394668977
